Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2015,"Jon Singleton","HOU",7,10,9,3,2,1,0,0,0,1,1,0,4,0,0,0,0,0,0,0.33333333,10441
2015,"Derek Dietrich","MIA",29,51,45,8,7,0,0,1,1,3,2,0,20,4,0,0,1,0,0,0.17777778,10542
2015,"Chris Sale","CHW",3,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10603
2015,"Rob Brantly","CHW",5,9,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10655
2015,"Corey Dickerson","COL",27,59,56,15,10,5,0,0,0,6,3,0,19,0,0,0,2,0,0,0.26785714,10762
2015,"Cody Stanley","STL",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10838
2015,"Greg Garcia","STL",6,7,5,2,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0.4,10951
2015,"Jacob deGrom","NYM",5,8,7,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.14285714,10954
2015,"Kevin Kiermaier","TBR",77,150,142,35,26,5,2,2,3,11,6,0,35,0,2,0,0,0,0,0.24647887,11038
2015,"Ramon Flores","NYY",2,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,11165
2015,"Kole Calhoun","LAA",90,224,200,44,30,6,0,8,8,29,17,0,58,4,1,2,3,0,0,0.22,11200
2015,"Adam Eaton","CHW",80,185,168,45,38,5,2,0,0,11,8,0,33,7,1,1,3,0,0,0.26785714,11205
2015,"Tyler Lyons","STL",3,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11334
2015,"Matthew den Dekker","WSN",9,14,13,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0.15384615,11385
2015,"Odubel Herrera","PHI",75,134,123,36,28,6,1,1,1,6,6,0,36,3,1,1,0,0,0,0.29268293,11476
2015,"Christian Yelich","MIA",77,144,132,38,32,4,1,1,1,16,12,0,33,0,0,0,6,0,0,0.28787879,11477
2015,"Robbie Ray","ARI",5,8,8,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.125,11486
2015,"Bryce Harper","WSN",92,189,154,49,27,15,0,7,7,25,32,1,34,1,2,0,5,0,0,0.31818182,11579
2015,"Jarrett Parker","SFG",10,15,13,6,4,0,0,2,2,3,2,0,3,0,0,0,0,0,0,0.46153846,11624
2015,"Justin Nicolino","MIA",2,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,11754
2015,"Noah Syndergaard","NYM",6,11,8,1,1,0,0,0,0,1,1,0,6,0,0,2,0,0,0,0.125,11762
2015,"Leonys Martin","TEX",49,112,105,24,20,2,0,2,2,12,4,0,33,1,1,1,2,0,0,0.22857143,11846
2015,"Steven Moya","DET",3,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11854
2015,"Mason Williams","NYY",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11859
2015,"Joc Pederson","LAD",75,129,116,25,16,3,0,6,6,14,13,2,48,0,0,0,1,0,0,0.21551724,11899
2015,"Joe Panik","SFG",55,100,86,25,19,4,1,1,1,10,11,0,8,1,1,1,1,0,0,0.29069767,11936
2015,"Travis Shaw","BOS",43,85,82,27,15,6,0,6,6,16,3,0,19,0,0,0,0,0,0,0.32926829,11982
2015,"Cody Asche","PHI",53,83,78,18,14,3,0,1,1,6,5,0,23,0,0,0,1,0,0,0.23076923,11997
2015,"Max Kepler","MIN",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12144
