Season,Name,playerId,Team,Bats,G_L,PA_L,AB_L,H_L,1B_L,2B_L,3B_L,HR_L,R_L,RBI_L,BB_L,IBB_L,SO_L,HBP_L,SF_L,SH_L,GDP_L,SB_L,CS_L,AVG_L,G_R,PA_R,AB_R,H_R,1B_R,2B_R,3B_R,HR_R,R_R,RBI_R,BB_R,IBB_R,SO_R,HBP_R,SF_R,SH_R,GDP_R,SB_R,CS_R,AVG_R,BsR,C,Fld,1B,2B,SS,3B,LF,CF,RF,DH
2019.0,William Contreras,20503,Atlanta,R,60.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,Willians Astudillo,15608,Minnesota,R,3.54375,9.45,8.894444444,2.5725,1.7666525000000002,0.3942475,0.0385875,0.3730125,1.0,1.0,0.5555555560000001,0.0,3.3042857139999997,0.0945,0.0525,0.0315,0.18899999999999997,0.0945,0.023625,0.289225484,6.428571429,17.55,16.10555556,4.4275,3.245666667,0.043333332999999995,0.060238095,1.078261905,2.0,2.0,1.4444444440000002,0.0,3.7260000000000004,0.1755,0.0975,0.0585,0.35100000000000003,0.1755,0.043875,0.27490514,0.0,15.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2019.0,Willie Calhoun,17838,Texas,L,21.78571429,58.0952381,53.92857143,13.00075586,7.981369902000001,1.923967894,0.176881032,2.918537029,8.0,8.0,4.166666667,0.0,30.25,0.580952381,0.32275132300000003,0.193650794,1.161904762,0.580952381,0.145238095,0.241073619,48.0375,124.9047619,114.07142859999999,29.99924414,14.06953968,10.49984127,0.44998866200000004,4.979874528,18.0,18.0,10.83333333,0.0,27.32142857,1.2490476190000002,0.6939153440000001,0.416349206,2.4980952380000003,1.2490476190000002,0.312261905,0.262986486,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,43.0
2019.0,Willson Contreras,11609,Chicago Cubs,R,21.525,57.4,52.12222222,13.5975,5.4808775,5.9410225,0.2039625,1.9716375,8.0,8.0,5.277777778,0.0,23.60571429,0.574,0.318888889,0.191333333,1.148,0.574,0.1435,0.26087721199999997,39.04761905,106.6,92.87777778,23.4025,12.92709524,4.457619048,0.318401361,5.6993843539999975,15.0,15.0,13.72222222,0.0,26.136,1.0659999999999998,0.5922222220000001,0.355333333,2.1319999999999997,1.0659999999999998,0.2665,0.25197093,-0.5,136.0,-2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
2019.0,Willy Adames,15986,Tampa Bay,R,26.775,71.4,65.84444444,17.2725,11.118952499999999,3.3899475,0.2590875,2.5045125,10.0,10.0,5.555555556,0.0,30.35528571,0.7140000000000001,0.39666666700000003,0.23800000000000002,1.4280000000000002,3.9139999999999997,0.9785,0.262322815,48.57142857,132.6,118.15555559999999,29.7275,22.02090476,0.062380952,0.40445578200000004,7.239758502999999,19.0,19.0,14.44444444,0.0,33.565,1.3259999999999998,0.736666667,0.442,2.6519999999999997,5.3260000000000005,1.3315,0.251596295,0.4,0.0,-0.2,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0
2019.0,Wilmer Flores,5827,San Francisco,R,15.35625,40.95,39.00555556,11.3925,7.9380324999999985,1.6316674999999998,0.1708875,1.6519125,6.0,6.0,1.9444444440000002,0.0,15.37114286,0.4095,0.2275,0.1365,0.8190000000000001,0.4095,0.102375,0.292073779,27.85714286,76.05,70.99444444,19.6075,14.43080952,0.134761905,0.266768707,4.775159864,11.0,11.0,5.055555556,0.0,17.222,0.7605,0.4225,0.2535,1.521,0.7605,0.190125,0.276183582,-0.3,0.0,-0.6,16.0,34.0,0.0,25.0,0.0,0.0,0.0,41.0
2019.0,Wilson Ramos,1433,New York Mets,R,17.85,47.6,44.26666667,12.1275,8.385647500000001,1.8014525000000001,0.1819125,1.7584875,7.0,7.0,3.333333333,0.0,18.798,0.47600000000000003,0.264444444,0.15866666699999998,0.9520000000000001,0.47600000000000003,0.11900000000000001,0.273964608,32.38095238,88.4,79.73333333,20.8725,15.32957143,0.17571428600000005,0.283979592,5.083234694,13.0,13.0,8.666666667000001,0.0,20.93,0.884,0.491111111,0.294666667,1.768,0.884,0.221,0.261778846,-0.8,132.0,-1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2019.0,Wyatt Mathisen,sa657937,Arizona,R,60.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2019.0,Xander Bogaerts,12161,Boston,R,27.5625,73.5,67.38888889,19.4775,10.0617975,6.2993025000000005,0.2921625,2.8242375,11.0,11.0,6.1111111110000005,0.0,26.40214286,0.735,0.40833333299999997,0.245,1.47,3.935,0.98375,0.289031327,50.0,136.5,120.6111111,33.5225,21.91719048,2.985238095,0.456088435,8.163982993,20.0,20.0,15.88888889,0.0,29.565,1.365,0.7583333329999999,0.455,2.73,5.365,1.34125,0.277938738,0.4,0.0,-1.2,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0
2019.0,Yadiel Rivera,11863,Texas,R,60.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2019.0,Yairo Munoz,16313,Boston,R,60.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
2019.0,Yandy Diaz,16578,Tampa Bay,R,24.01875,64.05,57.10555556,15.0675,11.7761075,0.8805924999999999,0.2260125,2.1847875,9.0,9.0,6.944444444,0.0,25.33885714,0.6405,0.355833333,0.2135,1.281,0.6405,0.160125,0.263853488,43.57142857,118.95,100.8944444,25.9325,19.12461905,0.13952381,0.35282312899999996,6.315534014,17.0,17.0,18.05555556,0.0,28.08,1.1895,0.660833333,0.3965,2.379,1.1895,0.297375,0.257026045,-0.2,0.0,0.0,69.0,0.0,0.0,71.0,0.0,0.0,0.0,43.0
2019.0,Yangervis Solarte,5352,Atlanta,S,60.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2019.0,Yasmani Grandal,11368,Chicago White Sox,S,22.75,60.66666667,52.33333333,11.66666667,4.566666667,4.766666667,0.166666667,2.166666667,9.0,9.0,8.333333332999999,0.0,29.835,0.606666667,0.33703703700000004,0.20222222199999998,1.213333333,0.606666667,0.151666667,0.22292993600000002,45.5,121.33333329999999,99.66666667,23.33333333,12.53333333,5.666666667,0.333333333,4.8,18.0,18.0,21.66666667,0.0,29.835,1.213333333,0.6740740740000001,0.40444444399999996,2.4266666669999997,1.213333333,0.303333333,0.234113712,-0.9,149.0,4.5,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
2019.0,Yermin Mercedes,sa597096,Chicago White Sox,R,60.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,220.0,200.0,50.0,34.0,10.0,1.0,5.0,25.0,25.0,20.0,0.0,50.0,3.0,2.0,0.0,3.0,5.0,1.0,0.25,0.0,4.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0
