Season,Name,playerId,Team,Throws,IP_L,TBF_L,ERA_L,H_L,1B_L,2B_L,3B_L,R_L,ER_L,HR_L,BB_L,IBB_L,HBP_L,SO_L,AVG_L,OBP_L,SLG_L,wOBA_L,IP_R,TBF_R,ERA_R,H_R,1B_R,2B_R,3B_R,R_R,ER_R,HR_R,BB_R,IBB_R,HBP_R,SO_R,AVG_R,OBP_R,SLG_R,wOBA_R,SP,RP
2019.0,Kendall Graveman,15514,Seattle,R,16.8,71.65713156,5.2605,17.035522,10.73058082,3.112941176,0.252,10.506972,9.8196,2.94,5.684,0.028419999999999997,0.7165713159999999,12.62222222,0.26105455,0.32705877,0.45163985100000004,0.17121434300000002,25.2,105.0672,4.771428571,23.87809524,15.26480112,4.2352941180000006,0.37799999999999995,14.2952,13.36,4.0,7.733333332999999,0.038666667,1.0506719999999998,13.915999999999999,0.247998577,0.310868669,0.42447064100000004,0.162930951,42.0,0.0
2019.0,Kenley Jansen,3096,Los Angeles Dodgers,R,8.4,34.66686594,3.9165,7.528353,4.571882412,1.556470588,0.126,3.911278,3.6554,1.274,2.6460000000000004,0.01323,0.346668659,9.511111111,0.237680941,0.303489265,0.41544300100000003,0.157603818,12.6,51.1,3.552380952,10.74285714,6.702876751,2.1176470590000003,0.18899999999999997,5.321466667,4.973333333,1.733333333,3.6,0.018000000000000002,0.511,10.485999999999999,0.228624937,0.29068213600000004,0.39240043799999996,0.15124258,0.0,21.0
2019.0,Kenta Maeda,18498,Minnesota,R,23.6,99.46277348,4.7669999999999995,21.606626000000002,13.02501816,4.372941176,0.354,13.37514267,12.50013333,3.854666667,9.086,0.04543,0.994627735,24.47407407,0.241733132,0.318584055,0.42795534700000004,0.158782538,35.4,146.11546669999996,4.323809524,30.5355102,18.81048593,5.949579832,0.531,18.19747302,17.00698413,5.244444444,12.36190476,0.06180952400000001,1.461154667,26.98266667,0.230818313,0.30358572300000003,0.40274740200000003,0.151732633,56.0,3.0
2019.0,Keone Kela,14696,Pittsburg,R,6.0,24.7750125,3.9375,4.830625,2.858860294,1.111764706,0.09,2.80875,2.625,0.77,2.45,0.01225,0.247750125,6.857142857,0.218805435,0.30386968,0.381949064,0.141897107,9.0,36.516,3.571428571,6.927891156,4.2326670669999995,1.512605042,0.135,3.821428571,3.571428571,1.047619048,3.333333333,0.016666667,0.36516,7.56,0.211103519,0.291006257,0.36118994200000004,0.136728722,0.0,15.0
2019.0,Kevin Gausman,14107,San Francisco,R,16.8,69.9145818,4.2525,15.845410000000001,10.32446882,3.112941176,0.252,8.49366,7.938,2.156,5.096,0.025480000000000003,0.699145818,15.11111111,0.24712335300000002,0.309528503,0.404407038,0.158694055,25.2,102.9168,3.857142857,22.48380952,14.93718207,4.2352941180000006,0.37799999999999995,11.556,10.8,2.933333333,6.933333332999999,0.034666667000000005,1.029168,16.66,0.236785589,0.29583421600000004,0.3820269770000001,0.152010213,42.0,0.0
2019.0,Kevin Ginkel,19876,Arizona,R,7.2,29.99450916,4.2945,5.226642,2.776524353,1.334117647,0.10800000000000001,3.6760919999999997,3.4356,1.008,3.78,0.0189,0.29994509199999997,8.533333333,0.201687437,0.310276359,0.37819504200000004,0.132344144,10.8,44.1456,3.895238095,7.503673469,4.155118848,1.81512605,0.162,5.001485714,4.674285714,1.371428571,5.1428571430000005,0.025714286,0.441456,9.408,0.19459084699999998,0.296473184,0.35675897700000003,0.12762205,0.0,18.0
2019.0,Kevin McCarthy,15240,Kansas City,R,6.4,27.14582752,5.0295,5.811824,3.7086083139999997,1.185882353,0.096,3.826890667,3.576533333,0.821333333,2.688,0.01344,0.271458275,3.928042328,0.240293363,0.323117145,0.3991383020000001,0.151387677,9.6,39.83786667,4.561904762,8.193741497000001,5.3188358010000005,1.6134453780000002,0.14400000000000002,5.206653968,4.866031746,1.117460317,3.6571428569999997,0.018285713999999998,0.398378667,4.330666667,0.228988387,0.30747788600000003,0.375815721,0.144696698,0.0,16.0
2019.0,Keynan Middleton,15264,Los Angeles Angels,R,6.4,26.97295552,4.7669999999999995,4.814090667,2.412208314,1.185882353,0.096,3.627157333,3.3898666669999997,1.12,3.5093333330000003,0.017546667,0.269729555,6.637037037000001,0.207558548,0.318584055,0.411831389,0.13977468099999998,9.6,39.62453333,4.323809524,6.858594104,3.5773392019999997,1.6134453780000002,0.14400000000000002,4.934907937,4.612063492,1.523809524,4.774603175,0.023873016,0.396245333,7.317333333,0.19906707,0.30358572300000003,0.3869388170000001,0.13412842,0.0,16.0
2019.0,Kirby Yates,9073,San Diego,R,8.4,34.07694024,3.234,6.534388,3.675917412,1.556470588,0.126,3.229688,3.0184,1.176,3.0380000000000003,0.01519,0.34076940200000005,11.64444444,0.212859197,0.29090515,0.38669595799999995,0.14260800099999998,12.6,50.372,2.933333333,9.466666667,5.560019607999999,2.1176470590000003,0.18899999999999997,4.394133333,4.106666667,1.6,4.133333333,0.020666667,0.50372,12.838,0.206989783,0.279991265,0.366509966,0.137938458,0.0,21.0
2019.0,Kolby Allard,18694,Texas,L,17.6,72.86399999999998,4.457142857,15.03250189,9.203111289,2.957983193,0.264,9.32632381,8.716190476,2.6074074069999997,6.518518519,0.032592592999999996,0.72864,15.4,0.22909517699999998,0.305770482,0.401432113,0.150197928,26.4,111.66277579999999,4.914,23.961608,14.36184329,4.891764706,0.396,15.423407999999998,14.4144,4.312,10.78,0.0539,1.116627758,13.96825397,0.24017774,0.321129718,0.426811835,0.157235663,41.0,3.0
2019.0,Kris Bubic,sa3008128,Kansas City,L,4.8,20.1152,5.0,3.7384126980000003,2.097785247,0.8067226890000001,0.07200000000000001,2.853333333,2.666666667,0.761904762,2.387301587,0.011936508,0.201152,3.92,0.213297586,0.314531612,0.397954618,0.140482104,7.2,30.896901,5.5125,5.97945,3.2773323530000003,1.334117647,0.10800000000000001,4.7187,4.41,1.26,3.948,0.01974,0.30896901,3.5555555560000003,0.224454402,0.331308924,0.424534404,0.147215868,12.0,0.0
2019.0,Kyle Crick,13182,Pittsburg,R,7.2,30.13453548,4.4835,5.033526,2.751408353,1.334117647,0.10800000000000001,3.837876,3.5868,0.84,4.1160000000000005,0.02058,0.301345355,7.619047619,0.19572612600000008,0.3136226,0.35399060299999996,0.124607044,10.8,44.3184,4.066666667,7.222857143,4.10287395,1.81512605,0.162,5.2216,4.88,1.142857143,5.6,0.027999999999999997,0.443184,8.4,0.188708462,0.29933483899999996,0.33417328399999996,0.12031355199999999,0.0,18.0
2019.0,Kyle Freeland,16256,Colorado,L,22.4,93.57226667,4.8571428569999995,19.98560847,12.56638406,3.764705882,0.336,12.93511111,12.08888889,3.318518519,8.296296296,0.041481481,0.9357226670000001,18.032,0.23696407100000005,0.312246657,0.40760930700000003,0.153824436,33.6,143.64099119999997,5.355,32.052440000000004,19.83455765,6.225882352999999,0.504,21.39144,19.992,5.4879999999999995,13.72,0.0686,1.4364099119999998,16.35555556,0.249465264,0.32865862,0.43390671299999994,0.161468335,56.0,0.0
2019.0,Kyle Funkhouser,19456,Detroit,R,4.0,17.238415600000003,5.691,3.21022,1.7090435290000001,0.741176471,0.06,2.706386667,2.5293333330000003,0.7,2.38,0.0119,0.172384156,3.3862433860000003,0.21859002600000002,0.334288504,0.42022220200000004,0.143132511,6.0,25.23466667,5.161904762,4.511564626,2.460780312,1.0084033609999998,0.09,3.68215873,3.4412698410000004,0.9523809520000001,3.238095238,0.016190476000000002,0.25234666699999997,3.733333333,0.207483351,0.317103714,0.393534878,0.136560499,0.0,10.0
2019.0,Kyle Gibson,10123,Texas,R,24.0,101.58940679999999,4.9455,21.58266,13.41560118,4.447058824,0.36,14.11116,13.187999999999999,3.36,10.08,0.0504,1.015894068,20.57142857,0.238499527,0.32167285100000004,0.406987393,0.152393794,36.0,149.136,4.485714286,30.46530612,19.30345738,6.050420168,0.54,19.19885714,17.94285714,4.571428571,13.71428571,0.068571429,1.49136,22.68,0.227471258,0.306236937,0.383109656,0.14568882800000002,60.0,0.0
2019.0,Kyle Hart,sa918414,Boston,L,3.6,15.0,4.742857143,3.172789116,1.9042232890000002,0.605042017,0.054000000000000006,2.029942857,1.897142857,0.60952381,1.333333333,0.006666666999999999,0.15,2.9819999999999998,0.23473162399999997,0.310408163,0.422767144,0.156171583,5.4,23.01514614,5.229,5.079843,2.990254765,1.000588235,0.081,3.357018,3.1374,1.008,2.205,0.011025,0.230151461,2.704761905,0.24683402899999998,0.326523865,0.450264025,0.163907719,6.0,3.0
