WK,date,DoW,SEA,SF,OAK,LAD,LAA,SD,ARI,COL,TEX,HOU,KC,STL,MIN,MIL,CHC,CHW,DET,CIN,CLE,PIT,TOR,BOS,NYY,NYM,PHI,BAL,WSH,ATL,TB,MIA,Games
9,5/24/2020,Sun,,,LAA,CLE,,,,PHI,,,TEX,ARI,CHW,CHC,,,TB,SD,,SF,BAL,HOU,SEA,,,,MIA,NYM,,,15
10,5/25/2020,Mon,,,,,CLE,,,LAD,,OAK,,,,,,,TB,SD,,SF,,KC,SEA,,,CHW,MIA,STL,,,11
10,5/26/2020,Tue,,,,,CLE,ARI,,LAD,WSH,OAK,,,,SF,MIA,,SEA,PIT,,,,KC,MIN,,NYM,CHW,,STL,TOR,,15
10,5/27/2020,Wed,,,,,CLE,ARI,,LAD,WSH,OAK,,,,SF,MIA,,SEA,PIT,,,,KC,MIN,,NYM,CHW,,STL,TOR,,15
10,5/28/2020,Thu,,,,,,ARI,,LAD,WSH,OAK,,,,SF,MIA,,SEA,PIT,,,,KC,MIN,,NYM,CHW,,,TOR,,13
10,5/29/2020,Fri,ATL,COL,,,NYY,MIA,DET,,OAK,BOS,,PIT,,,CIN,MIN,,,KC,,,,,LAD,WSH,TOR,,,,,14
10,5/30/2020,Sat,ATL,COL,,,NYY,MIA,DET,,OAK,BOS,,PIT,,,CIN,MIN,,,KC,,,,,LAD,WSH,TOR,,,MIL,,15
10,5/31/2020,Sun,ATL,COL,,,NYY,MIA,DET,,OAK,BOS,,PIT,,,CIN,MIN,,,KC,,,,,LAD,WSH,TOR,,,MIL,,15
11,6/1/2020,Mon,NYY,SD,,ATL,,,COL,,LAA,,,TOR,TB,,CIN,,,,BOS,,,,,,,,MIL,,,,10
11,6/2/2020,Tue,NYY,SD,DET,ATL,,,COL,,LAA,,CHW,TOR,TB,,BAL,,,,BOS,CIN,,,,HOU,,,MIL,,,PHI,15
11,6/3/2020,Wed,NYY,SD,DET,ATL,,,COL,,LAA,,CHW,,TB,,BAL,,,,BOS,CIN,,,,HOU,,,MIL,,,PHI,14
11,6/4/2020,Thu,,SD,DET,COL,,,,,,,CHW,,LAA,,,,,CHC,,STL,TEX,,,,,,NYM,,,PHI,10
11,6/5/2020,Fri,,,,COL,,,SD,,,,CLE,,LAA,,,DET,,CHC,,STL,TEX,MIL,TB,,,HOU,NYM,PHI,,SEA,14
11,6/6/2020,Sat,,,SF,COL,,,SD,,,,CLE,,LAA,,,DET,,CHC,,STL,TEX,MIL,TB,,,HOU,NYM,PHI,,SEA,15
11,6/7/2020,Sun,,,SF,COL,,,SD,,,,CLE,,LAA,,,DET,,CHC,,STL,TEX,MIL,TB,,,HOU,NYM,PHI,,SEA,15
12,6/8/2020,Mon,,,,,,,,,,,,,,,,,,,,,,,,STL,CHC,,,,,,2
12,6/9/2020,Tue,,PIT,,,MIA,,,ARI,,TEX,,,,SD,,CLE,OAK,LAD,,,SEA,,KC,STL,CHC,MIN,,WSH,BOS,,15
12,6/10/2020,Wed,,PIT,,,MIA,,,ARI,,TEX,,,,SD,,CLE,OAK,LAD,,,SEA,,KC,STL,CHC,MIN,,WSH,BOS,,15
12,6/11/2020,Thu,,PIT,,,,,,ARI,,TEX,,,,SD,,CLE,OAK,LAD,,,SEA,,KC,,,MIN,,WSH,BOS,,12
12,6/12/2020,Fri,,MIA,,,SEA,ARI,,PIT,CLE,CHW,MIN,,,CIN,,,TOR,,,,,NYY,,WSH,OAK,,,LAD,BAL,,14
12,6/13/2020,Sat,,MIA,,,SEA,ARI,,PIT,CLE,CHW,MIN,CHC,,CIN,,,TOR,,,,,NYY,,WSH,OAK,,,LAD,BAL,,15
12,6/14/2020,Sun,,MIA,,,SEA,ARI,,PIT,CLE,CHW,MIN,CHC,,CIN,,,TOR,,,,,NYY,,WSH,OAK,,,LAD,BAL,,15
13,6/15/2020,Mon,,,LAA,ARI,,,,,KC,,,,,,,,,,BAL,,,,,,,,,,,,4
13,6/16/2020,Tue,HOU,,LAA,ARI,,CIN,,,KC,,,COL,MIL,,NYM,,CHW,,BAL,NYY,TB,ATL,,,MIA,,SF,,,,15
13,6/17/2020,Wed,HOU,,LAA,ARI,,CIN,,,KC,,,COL,MIL,,NYM,,CHW,,BAL,NYY,TB,ATL,,,MIA,,SF,,,,15
13,6/18/2020,Thu,KC,,,ARI,TEX,CIN,,,,,,COL,NYY,,NYM,,CHW,,BAL,,TB,,,,MIA,,SF,,,,12
13,6/19/2020,Fri,KC,,HOU,DET,TEX,,MIL,SD,,,,CIN,NYY,,BOS,,,,CHW,TOR,,,,PHI,,TB,ATL,,,SF,15
13,6/20/2020,Sat,KC,,HOU,DET,TEX,,MIL,SD,,,,CIN,NYY,,BOS,,,,CHW,TOR,,,,PHI,,TB,ATL,,,SF,15
13,6/21/2020,Sun,KC,,HOU,DET,TEX,,MIL,SD,,,,CIN,NYY,,BOS,,,,CHW,TOR,,,,PHI,,TB,ATL,,,SF,15
14,6/22/2020,Mon,TEX,NYM,,,BOS,,LAD,KC,,MIN,,,,TOR,,DET,,,,,,,BAL,,,,PIT,PHI,,STL,12
14,6/23/2020,Tue,TEX,NYM,,,BOS,CLE,LAD,KC,,MIN,,,,TOR,,DET,,CHC,,,,,BAL,,,,PIT,PHI,OAK,STL,15
